TID,item
80,28 69 94 95 132 540 555 561 592 623 807 809 827 955
81,9 155 285 374 446 598 628 709 729 806 829 848 850
82,89 132 170 213 215 412 592 729 737 879
83,127 402 405 988
84,285 432 515 608 699 778
85,87 221 248 267 446 514 631 837 859 921
86,154 159 173 466 553 833 973
87,60 486 558 607 676 963 973 978 992 994
88,83 373 471 607 662 673 707 738
89,80 118 241 259 472 662 732 737 833 885 946 962
90,22 62 193 495 545 549 574 676 699 826 884 896
91,215 273 366 471 565 908 909 950
92,8 35 74 93 163 237 238 273 321 368 453 472 481 620 689 709 754 983
93,69 94 95 117 236 520 561 569 827 883 924 959
94,80 307 374 432 443 470 471 531 607 671 723 973
95,83 108 118 246 281 687 829 943 961 962 981 984 994
96,26 36 128 198 221 314 318 330 409 589 981 998
97,93 142 231 277 368 442 471 493 738 761 826 895 896 996
98,3 109 132 187 215 219 295 327 490 493 626 656 807
99,57 97 144 170 318 319 595 622 697 794 830 870
100,40 405 780 790 809 858 895 944
101,39 83 95 209 281 362 374 377 402 425 429 471 510 607 647 709 877 913
102,45 62 389 575 638 775 784 800 803 978 990
103,36 124 183 331 405 544 557 789
104,48 95 210 293 395 480 623 647 771 829 963 985
105,49 85 104 137 235 245 649 879 890 902 913 915 988
106,69 117 236 520 883 924 959
107,117 146 154 423 535 722 820 828 988
108,294 315 371 456 464 527 798 878 993
109,203 353 442 504 613 647 790 988
110,293 773 849
111,80 83 142 289 402 429 442 456 471 493 510 607 738 761 877 883 913 996
112,5 71 154 159 173 188 217 238 331 346 423 430 481 559 649 778 908 915 933
113,8 191 222 227 317 381 442 713 808 837 883 961
114,104 241 245 327 436 623 806 837 907 925
115,39 193 553 559 571 591 663 769 782 813 953 961
116,318 445 486 675 808 820 837 889
117,3 111 405 451 487 488 523
118,63 86 135 229 414 656 852 868 973
119,63 67 89 100 209 300 715 879
120,69 444 447 722 832
121,28 38 71 119 182 199 259 314 463 494 545 604 753 906 996
122,54 316 339 388 511 723 737 800 863 939
123,128 170 214 376 418 501 704 827 913 961 998
124,36 261 453 568 732 744 885 903
125,132 187 338 493 626 647 650 656 663 675 898
126,231 277 368 399 415 486 512 524 699 895 938
127,155 388 514 631 709 765 859 868
128,72 291 558 738 778 851
129,112 163 241 421 480 555 613 676 832 941
130,119 127 182 304 317 322 423 432 511 534 615 709 829
131,214 374 444 486 501 913 962
132,3 111 451 487 488 523
133,8 69 544 693 709 729 737 807 829 939
134,0 19 132 148 169 209 277 327 360 436 482 626 642
135,86 247 414 511 571 608 740 973
136,22 69 127 322 423 432 510 534 549 615 692 699 709 820 829
137,316 405 444 613 638 673 732 764 827 901 961 973 981 992
138,144 318 405 595 613 622 794 830 870
139,11 38 51 80 338 350 374 432 531 575 669 732 990
140,36 117 261 571 674 729 873 926
141,8 20 34 87 416 586 599 607 620 634 674 776 970 974
142,51 119 238 300 307 344 351 403 443 638 723 790 830 973 984 989
143,17 38 81 158 286 304 459 464 642 684 973 994
144,124 316 374 485 529 671 785 807 874 909 970
145,108 132 442 614 961 988
146,124 429 473 592 601 607 614 642
147,116 146 261 318 445 826 837 896 916 974
148,3 67 338 359 486 550 640 719 722 799 815 950 973 992
149,34 87 192 416 420 511 527 586 599 608 620 951
150,54 116 123 773 863
151,61 129 238 374 444 549 989
152,39 188 511 572 608 645
153,36 128 221 282 314 330 439 553 885 998
154,42 109 129 144 147 305 414 669 720 767 795 827 829 991
155,33 106 201 222 240 456 472 607 796 828 870 994
156,3 36 116 119 229 374 377 435 558 722 727 794 806 830 850 946 961 993
157,11 210 266 364 471 592 623 673 714 778 807 904 931
158,109 231 289 412 456 603 709 859
159,8 81 412 524 666 764 909 970
160,0 3 36 127 131 281 322 395 423 432 456 534 592 615 664 709 829 899 909 925
161,26 38 238 570 577 909
162,8 12 69 157 163 293 432 493 619 753
163,33 62 159 192 559 902 991
164,19 127 277 402 405 471 601 607 988
165,8 80 229 374 403 432 531 824 868 970 992
166,71 109 128 221 318 330 403 607 628 638 747 868 939 998
167,69 117 236 399 486 520 826 883 896 924 938 959
168,71 87 159 214 217 444 501 559 913 915
169,246 248 261 395 533 764 829 925
170,36 39 293 553 558 591 651 721 829 909 988
171,3 28 35 127 150 153 155 263 336 374 477 518 729 744 806 850
172,34 87 97 99 144 212 318 594 595 622 634 794 830 870
173,45 128 144 221 318 330 405 524 638 652 688 775 809 947 990 998
174,38 109 118 139 230 294 335 423 427 628 687 868 951
175,36 168 197 231 282 314 418 439 553 662 722 737 756 885
176,14 62 145 216 229 403 546 574 676 824 868 921 992
177,93 215 219 295 327 358 543 631 811
178,40 132 163 187 316 493 619 650 656 753 858 917
179,17 148 154 221 371 474 559 628 820
180,11 154 193 266 364 402 486 535 673 761 778 813 953
181,405 767 973
182,221 246 319 331 595 800 808 810 830
183,215 273 306 419 471 565 870 902 908 909
184,127 339 399 486 524 595 699 807 907 938
185,59 62 63 66 311 344 360 574 647 656 676 728 761 863 946 973
186,87 144 439 623
187,237 318 372 628 961
188,28 71 119 182 335 463 494 553 902
189,214 480 510 671 706 731 867 895 974
190,52 100 389 438 852 943 978 994
191,132 187 238 471 478 490 493 601 607 626 631 650 656 837 914
192,112 163 421 480 607 613 625 901 988
193,63 81 87 222 299 401 432 439 743 800 838 908 961
194,119 129 147 305 339 453 604 669 720 737 797 830
195,19 144 180 231 277 336 395 410 425 524 652 891 947
196,25 63 85 148 319 371 559 571 592 610 628 937 994
197,8 150 191 381 808 837 883
198,59 63 246 344 368 432 647 743 863 961
199,7 81 286 295 304 642 693 737 766 807
200,9 85 170 180 188 231 236 376 382 410 418 480 704 805 827
201,22 418 432 478 549 561 613 699
202,40 124 473 592 601 607 614 642
203,405 442 445 553 557 598 628 729
204,42 170 175 188 277 481 492 595 676 686 706 731 832 867 871 931 946 996
205,368
206,36 282 314 439 553 885
207,48 180 293 322 359 410 465 480 561 622 647 747 891 914
208,83 306 326 402 429 443 471 510 607 651 807 877 909 913 994
209,237 273 472 481 799 983
210,3 33 106 109 201 289 490 807 994
211,36 117 205 647 827 849 874 988
212,39 62 293 443 507 651 673 721 829 863
213,19 69 117 193 236 463 495 520 545 883 884 924 959
214,185 429 601 780 826 858 944
215,11 51 148 327 350 436 575 925
216,172 192 420 471 527 566 592 624 786 807 931 951 978
217,36 154 325 435 827 961
218,137 146 235 774 916
219,215 238 335 471 541 553 565 902 909
220,486 799 973 992
221,3 143 405 442 445 464 496 553 557 733
222,35 85 117 259 371 418 806
223,93 123 331 405 444 480 592 858 896 959 991
224,39 127 185 322 423 429 432 534 601 615 709 720 800 829 961
225,59 63 344 647 863
226,51 59 63 95 325 344 351 360 414 429 645 647 790 863 930
227,51 127 444 471 550 601 607 667 807 826 896 996
228,36 124 183 238 331 405 490 544 557 789 837 914
229,20 38 291 486 591 799 973 995
230,38 259 470 545 604 682 753 906 996
231,86 248 324 421 439 568 570 803 954 993
232,318 368 490 631 707 729 908
233,17 69 118 123 222 300 428 433 444 447 616 693 721 722 807 905 959 998
234,8 132 237 388 558 723 799 970
235,97 118 364 427 507 561 955
236,29 63 97 147 310 807 877
237,42 169 188 420 555 559 676 722 829 863 934 946
238,89 170 201 222 293 939
239,72 86 291 414 558 738 778 851 973
240,146 216 307 375 428 510 892 948 974
241,137 146 235 344 514 521 571 674 774 913 916
242,123 280 293 747 772 773 806 808 850 914
243,108 117 118 221 231 427 442 616 764 981
244,8 33 87 159 192 221 248 331 800 970
245,147 198 318 442 504 669 790 892 988
246,118 215 273 316 427 471 565 638 764 908 909 981
247,148 150 221 381 439 682 899 934 950
248,132 237 399 486 524 558 699 799 938
249,42 335 399 486 524 550 553 676 699 902 938 946
250,63 119 139 160 346 495 569 679
251,62 69 286 304 444 447 574 642 676 722 832
252,124 289 291 306 456 628 734 938
253,26 118 344 374 437 444 478 486 531 558 604 614 615 631 667 806 833 948
254,569 883 910
255,38 51 76 132 259 342 470 545 550 634 667 722 906 996
256,132 187 336 395 425 493 584 607 626 650 656 828 870 959
257,216 255 402 412 425 447 493 629 700 871 939
258,34 87 99 212 444 594 613 634 673 827 901
259,71 130 205 238 326 403 553 638 657 674 747 753 808 973
260,33 59 63 259 344 360 543 647 863
261,63 109 291 398 509 592 628 868
262,59 63 344 405 472 494 521 549 647 678 855 863
263,8 210 324 511 595 699
264,14 40 49 95 491 561 647 779 827 909
265,109 180 412 603 634 709 829 859
266,237 273 472 481 983
267,34 87 99 212 594 634
268,59 63 85 104 116 245 344 510 863 974
269,36 198 326 409 453 583 589 592 647
270,62 565 674 899
271,61 129 238 374 444 522 549 764 807 959 973 989
272,3 28 35 38 259 263 336 470 518 545 604 682 744 753 906 996
273,85 104 245 471 601 607
274,29 127 219 255 259 322 391 442 444 486 527 829
275,71 217 430 559 915
276,8 150 191 327 381 436 524 808 837 883
277,132 480 493 539 626 910 994
278,67 180 410 465 561 884 891
279,69 222 444 447 517 550 667 722 832 988
280,3 14 39 124 216 504 631 734 737 868
281,8 118 221 427 463 631 870 970
282,36 314 439 553 885
283,102 404 433 592 613 631 721 827 833 934
284,20 36 106 189 319 416 599 623 820 872 877
285,5 71 185 238 403 429 601 607 638 747
286,63 180 212 266 432 471 829 837 904 952 992
287,193 306 716 756 827 870 879 894 902
288,182 204 274 377 471 520 607 638 800 871 989 990
289,25 80 132 168 510 517 553 571 584 761 959 988
290,72 83 238 282 291 368 402 429 471 510 558 607 673 738 778 851 877 913
291,19 43 73 128 129 147 277 305 471 511 529 607 608 669 705 720 894
292,137 263 402 603 647 699 827 947 970
293,59 63 344 647 863
294,180 215 273 565 829 909
295,97 405 497 526 549 577
296,3 105 111 395 451 487 488 523 924
297,22 130 205 314 326 529 549 571 622 699 707 715 879 985
298,647 764
299,118 154 258 267 413 439 456 732 806 867 943 962 994 999
300,150 289 405 442 445 480 553 555 557 738 879 915 994
301,155 316 374 485 486 529 567 604 870 894 902 909
302,137 446 463 531 647 723 782 813 827 894 970
303,59 61 63 129 238 344 374 444 495 549 569 647 863 989
304,26 39 83 238 246 293 553 570 591 628 647 651 687 721 829 973
305,9 285 446 709 829
306,86 229 444 570 613 797 803
307,42 45 188 638 676 775 800 863 946 990
308,23 316 831 889 974
309,83 402 429 471 510 607 877 913
310,14 62 63 216 306 495 569 575 784 803 870 894 902 921
311,118 222 241 259 553 595 662 863 946 962
312,42 57 83 170 212 238 259 319 405 444 478 571 631 677 697 767 845
313,215 273 471 565 908 909
314,71 238 403 607 638 709 747
315,61 95 147 348 353 500 631 776 933 939
316,148 421 610 613 629 773 781 790 803 822 825
317,39 144 339 444 478 524 631 652 947
318,62 286 405 497 549 574 638 676 962 989
319,61 129 238 374 444 480 549 706 717 731 867 989
320,344 472 595 717 950
321,73 128 189 317 402 445 511 705 781 894 966
322,25 592 744 937
323,80 222 414 472 732 737 833 885
324,132 238 467 501 571 904 915 929
325,71 238 403 607 638 747 773
326,20 147 198 318 319 599 669 872 877 892
327,17 36 132 148 150 158 405 437 459 547 553 557 684 717 772 876 973
328,33 62 72 147 201 289 405 443 477 546 575 682 729 784 803 820 902
329,59 63 144 344 439 647 863
330,87 132 168 221 222 248 517 761 988
331,222 399 486 524 699 761 815 874 938
332,405 472 494 521 549 678 729 855
333,723 782 894
334,36 40 85 104 150 245 316 437 547 833 917
335,300 374 671 785 807 863 874 894 909 955 984 989
336,281 293 331 335 644 652 666 808 871 966
337,28 69 338 445 555 592 709 809
338,79 240 293 405 454 456 595 598 619 729 807 835 925
339,49 60 137 154 168 325 369 387 649 674 827 876 879 973
340,8 14 36 216 402 695 705 961
341,9 81 285 446 546 642 709 739 766 829 925
342,21 35 81 304 594 642 766
343,43 155 281 374 471 553 592 778 806 807 848 850 925 931
344,80 374 432 531 717
345,116 139 202 497 795
346,62 432 575 578 729 751 784 803 955 998
347,125 173 201 207 222 359 414 550 721 733 827 859 973
348,39 62 293 311 574 651 721 728 829 973
349,129 147 305 387 451 669 704 720 806
350,62 163 214 335 443 507 674 755 863 987
351,11 51 215 219 295 350 395 425 575
352,221 222 227 317 318 330 442 693 713 737 807 961 998
353,480 706 731
354,123 405 497 526 549 595 628 638 722
355,40 95 561 827
356,8 163 321 453 472
357,23 154 344 442 683 806 827 831 889
358,36 111 118 246 353 427 484 687 697 815 859 863 994
359,36 127 405 445 553 557 559 647 849 874
360,40 49 492 550 571 867 879 890 902 915 988
361,574 595 675 676 764 808 820 889
362,136 160 199 314 510 553 571 584 693 737 803 807 925 959
363,124 248 263 331 473 486 601 603 607 614 761 764 800 808
364,8 43 62 150 191 311 381 529 574 728 808 837 883 973
365,97 144 318 595 622 794 830 870
366,132 168 222 336 395 517 592 761 988 990
367,129 150 442 444 545 549 614 644 813 945 959 965 988
368,132 187 493 626 650 656
369,66 247 353 360 442 470 504 656 761 790 946 988
370,19 154 277 291 325 369 398 592 827
371,38 119 326 338 368 415 422 512 570 669 732 830 899 990
372,19 192 238 277 607 943 994
373,73 119 136 142 160 188 319 456 707 756 767 803 825 830
374,118 241 259 662 946 962
375,28 71 119 182 463 494
376,26 36 168 293 558 747 909 914 981 988
377,14 66 139 163 230 294 518 687 902 903
378,62 214 246 325 395 444 501 667 727 837 913 991
379,119 175 492 571 744 798 830 832 996
380,9 285 446 709 829
381,222 227 317 338 442 647 663 675 713 898 961
382,57 129 170 319 444 549 571 697 965
383,117 180 193 205 212 215 790 827 829 894 895 961 988
384,154 293 466 534 560 585 619 683 783
385,180 231 293 335 336 395 410 425 467 571 652 666 871 891 904
386,17 51 158 344 351 459 684 973
387,20 36 67 87 180 299 401 410 465 540 561 571 607 647 674 776 849 874 884 891 974
388,74 222 240 241 318 331 368 445 683 745 783 800 808 837
389,3 62 117 154 435 443 507 604 673 829 863
390,51 150 289 418 432 478 561 613 738 827 994
391,20 193 319 599 744 813 872 879 915 953
392,66 89 360 374 486 604 656 761 867 946
393,39 93 486 770 799 833 899 973 992
394,595 604 744 764
395,61 129 238 374 444 549 989
396,104 116 336 371 378 395 425 471 604 607 799 889 973
397,127 148 211 238 405 432 459 619
398,106 169 286 423 432 647 803 989
399,8 36 237 318 372 628 695 961 963
400,9 33 63 87 103 106 123 142 201 289 359 381 418 444 459 619 623 682 994
401,74 368 745
402,36 42 83 150 212 259 402 429 437 471 510 547 607 677 767 877 913
403,137 146 235 521 774 913 916
404,50 168 299 306 329 388 463 471 537 723 870 894 902
405,238 490 837 914
406,155 267 360 439 456 492 540 550 595 732 917 999
407,28 132 344 523 592 674 690 868 894 909
408,17 511 608 628 778 962
409,86 229 444 447 546 797 992
410,3 111 451 487 488 523 675 808 820 889
411,38 259 331 470 545 604 682 753 800 808 833 906 996
412,39 124 316 485 529 767 769 909 961
413,97 155 229 318 403 471 567 577 592 595 824 837 868 992
414,3 42 69 111 190 364 447 451 487 488 501 523 553 662 721 859
415,15 50 66 69 85 100 188 230 233 291 368 591 592 818 833 936 938
416,72 132 187 291 493 558 626 650 656 738 778 851
417,280 486 761 808 811
418,418 432 478 540 561 571 607 613 634 674 776 974
419,8 163 321 453 472 689
420,8 124 163 321 330 409 453 472 566 624 689 786 806
421,14 66 518 795 902 903 978 994
422,319 403 670 707 820 835 915 994
423,247 306 693 820 870 894 902
424,48 81 286 304 496 561 642 709 766 876 913
425,63 439 459 461 571 574 614 673 837
426,117 412 540 688 773 821 852 925
427,67 180 200 410 465 541 561 806 884 891 992 996
428,97 144 318 595 622 794 830 870
429,50 273 333 337 374 420 439 446 471 507 684 690 924
430,29 63 97 310 391 753 807 877 973
431,87 221 248 446 514 631 859
432,28 62 85 148 214 238 359 371 399 490 507 559 628 684 767 837 840 868 914
433,28 135 154 159 173 238 488 517 521 541 607 937 991
434,327 388 405 497 526 549 607 638 707
435,17 43 89 158 281 374 459 553 684 778 925 973
436,71 81 214 238 286 304 403 444 501 607 638 642 747 766 913
437,69 444 447 511 722 832
438,157 222 227 317 360 442 713 753 859 880 961 992
439,28 36 71 119 168 182 463 494 558 909 988
440,54 137 146 235 316 521 774 863 916
441,51 132 238 541 550 667
442,71 238 317 403 549 601 607 638 747
443,0 7 83 185 203 246 294 314 350 371 409 417 559 575 583 592 687 829 848 873 878
444,87 299 401 405 497 526 540 549 553 591 638 647 649 879 890 915 973
445,25 38 51 132 550 592 667 744 930 937
446,738 864 938
447,87 221 248 446 514 631 859
448,61 129 238 374 444 549 671 989
449,9 103 359 418 623
450,59 63 316 344 638 647 764 863 981
451,3 34 87 99 143 187 212 366 464 496 594 634 656 733 813 874 963
452,14 63 154 159 173 216 432 743 921 961
453,48 128 188 221 318 330 439 800 908 998
454,34 87 99 116 146 212 510 594 595 743 974
455,9 402 446 709 778 829
456,466 520 553 638 800 973 990
457,28 48 216 299 497 797 910 994
458,36 80 124 183 331 405 472 544 557 732 737 789 833 885
459,36 87 388 435 453 591 623 709 859 868 961
460,51 209 214 344 415 429 501 624 885 913
461,34 87 99 212 594 634
462,3 38 145 293 335 599 805 872 877
463,3 89 150 192 722 943
464,3 85 117 247 259 350 371 418 486 806 973 992 994
465,36 282 314 439 533 553 764 885
466,28 71 119 132 182 213 412 463 494 737
467,306 331 399 445 472 486 524 557 577 626 699 800 808 857 938
468,40 87 104 180 687 764 835 858 944
469,11 200 266 364 541 673 806 904 992 994 996
470,135 180 229 231 410 524 891
471,85 87 104 245 360 405 527 595 613 623 729 944
472,154 325 369 466 827 973
473,117 137 540 553 647 688 692 821 827 970
474,326 368 422 570 899
475,163 327 360 436 493 607 619 625 626 753 901 988
476,89 170 723 782 813 827 894
477,85 137 185 317 350 417 647 827 848 873 970
478,671
479,7 127 182 204 274 295 377 402 405 471 607 718 871 988 989
480,72 419 546 682 717 820
481,118 219 293 295 335 415 427 531 541 652 666 871
482,28 69 127 201 222 237 359 402 405 471 555 558 592 601 607 733 799 809 902 988
483,5 40 293 521
484,331 409 720 732 800 808
485,23 36 83 221 259 283 442 566 624 662 673 744 764 786 827 831 889
486,3 132 135 140 159 181 229 242 329 377 553 564 571 595 652 696 722 904 946 987
487,128 221 231 277 318 330 368 895 998
488,20 540 571 607 634 674 776 974
489,17 105 300 395 427 428 616 722 905 924 998
490,132 168 222 318 442 517 628 761 877 988
491,40 95 117 185 221 231 429 442 561 601 647 827
492,35 135 209 229 388 442 453 620 723 831 874
493,20 147 360 389 405 443 477 729 902 978
494,19 66 119 123 182 246 277 304 317 511 524 592 656 761 924 946
495,33 38 102 106 140 201 289 404 433 511 561 721 800 903 934
496,80 472 737 833 885
497,36 148 150 282 381 439 553 885 899 934 950
498,36 327 360 397 436 607 626 662 828 870
499,33 45 148 192 327 436 638 775 800 925 990
500,0 171 193 238 300 495 545 662 790 884
501,8 191 381 808 837 883
502,306 472 553 577 604 626 709 857 871 963
503,116 117 123 604 773 791 829
504,3 19 111 238 277 451 487 523 709
505,51 132 209 442 811 831 874
506,238 282 318 368 445 673 837 961
507,163 321 331 373 453 472 689 738 800 808 916 931
508,124 473 559 592 601 607 614 642
509,432 578 729 955 998
510,421 610 613 629 640 803 815 837 921
511,14 66 163 518 902 903
512,17 34 87 99 212 405 497 549 594 634 638
513,19 28 69 93 118 261 277 427 555 592 809 916
514,20 38 464 466 553 571 607 634 674 753 776 845 893 973 974
515,49 154 159 203 548 583 649 858 879 890 902 915 959 988
516,17 104 127 154 294 402 405 437 545 648 988
517,144 524 652 833 947
518,40 63 66 100 130 230 509 511 553 608 670 818 896 908 936
519,125 201 207 464 721 973 994
520,57 68 85 155 170 246 319 374 529 546 571 697 753 806 848 850
521,193 716 756 827 879
522,40 69 117 236 520 559 663 783 883 914 924 959
523,43 92 281 374 456 545 553 778 863 910 925
524,50 107 126 175 214 306 446 463 471 472 492 524 577 626 628 652 684 832 857 996
525,26 38 464 553 591 994
526,43 70 182 281 374 424 486 553 670 744 761 778 925 959
527,443 470 723 973
528,40 95 561 647 827
529,19 277 318 442 628 877
530,59 63 117 221 231 344 442 647 863
531,9 103 359 418 623
532,14 62 83 216 402 429 471 510 575 607 803 877 913 921
533,19 209 212 215 219 295 327 368 455 619 732 917 973
534,148 154 327 360 436 475
535,293 418 432 478 561 613 747 914
536,11 124 231 277 291 368 402 412 425 629 797 871 895
537,67 150 180 381 410 465 561 808 837 884 891
538,11 116 274 299 432 484 850
539,123 209 336 344 395 523 592 619 690 697 745 962 990
540,9 103 359 418 623
541,28 71 119 154 182 463 494 683 808 902
542,128 221 318 330 998
543,127 314 335 402 405 432 490 509 524 543 559 585 631 811 988
544,130 405 553 989
545,83 402 429 471 510 607 877 913
546,39 338 415 445 512 709
547,23 36 69 442 662 827 831 889
548,348 412 500 553 631 739 852 925
549,128 221 318 330 998
550,229 306 326 403 443 651 807 824 868 909 992 994
551,8 36 148 174 327 436 446 695 879 925 963
552,28 36 61 71 87 139 159 217 430 453 623 722
553,155 187 366 388 567 631 656 765 813 874 963
554,142 442 471 738 761 996
555,3 42 145 212 238 259 405 677 767
556,40 176 214 219 238 387 444 559 634 663 783 913 914 992
557,221 327 420 436 524 527 631 870
558,3 474 598 628 722 729 820 894 909
559,85 108 281 317 961 984
560,34 87 99 209 212 436 441 472 559 594 634 831 874 902
561,26 36 118 199 222 240 427 456 571 925 981
562,94 154 219 295 316 511 531 628 764
563,38 137 273 333 439 445 464 553 647 773 827 970 994
564,173 222 414 859 895 961
565,36 327 435 436 524 961
566,3 43 229 281 374 377 553 558 722 778 925 946
567,29 63 97 147 192 310 388 391 543 723 753 778 807 877 943 973
568,60 80 137 168 222 456 472 674 732 833 876 973
569,36 150 215 273 437 471 547 565 908 909
570,80 129 444 472 549 732 737 833 885 965
571,124 316 529 909
572,48 124 291 299 306 447 497 546 628 734 797 910 938 992 994
573,144 524 652 947
574,127 148 211 511 608
575,49 146 154 535 649 722 828 879 890 902 915 988
576,38 259 470 520 545 571 604 638 682 693 744 753 800 820 906 990 996
577,20 28 71 119 182 463 494 540 571 607 634 674 776 974
578,182 204 274 377 471 607 871 989
579,15 50 117 221 231 348 368 442 500 592 631 739
580,3 229 261 335 377 553 558 722 723 808 902 916 946
581,8 12 28 69 135 157 432 517
582,50 241 446 461 471 555 619 676 773 832 883 938 941 985
583,137 174 344 387 647 667 806 827 832 879 901 970
584,9 69 128 314 511 521 555 809 874 894
585,472 732 737 833
586,29 39 85 127 219 291 293 322 391 442 444 651 721 829
587,43 129 231 342 444 529 543 549 594 778 965
588,8 125 201 207 721 939 973
589,3 143 464 496 616 733 764
590,33 116 154 259 325 369 827
591,38 51 344 351 486 790 799 973 992
592,39 74 93 187 238 493 626 650 656 770 833
593,241 300 555 676 832 941 955 984 989
594,306 353 442 504 790 894 902 988
595,14 49 148 188 471 491 601 607 772 779 863 876 909
596,83 124 316 318 402 429 442 471 485 510 529 607 628 877 909 913 943 994
597,19 85 248 259 291 416 666
598,8 12 69 137 154 157 159 293 384 531 720 800
599,116 374 402 603 699 727 794 806 850 993
600,17 38 180 185 231 410 429 464 601 660 831 888 891 994
601,22 326 338 545 583 592 647 719
602,36 168 558 909 988
603,36 124 183 331 405 544 557 789
604,17 154 238 437 490 837 914
605,36 89 159 344 623 674 676 722 810 855
606,69 117 236 374 432 520 883 924 959
607,71 87 159 217 430 559 915
608,81 222 439 800 838 908
609,130 198 336 405 553 669 772 826 892 896 989
610,17 20 38 93 201 203 578 674 899 959
611,8 124 176 219 238 330 387 409 437 495 541 569 806 970 992
612,73 188 319 336 425 456 707 756 767 825
613,89 571 673 938 996
614,17 101 115 316 336 395 425 592 644 782 830 832 868 870 992
615,66 74 127 140 238 322 360 375 423 432 441 534 561 615 628 656 709 829 903 946
616,81 155 222 439 471 567 800 838 908
617,132 237 558 574 676 799
618,116 132 146 209 237 368 455 510 558 619 799 917 974
619,36 68 85 238 246 546 753 961
620,43 63 529 656 826 852 868 896
621,51 71 132 238 403 550 607 638 667
622,3 14 51 87 132 143 169 227 317 423 432 464 496 550 623 647 667 733 831 833
623,248 421 570 613 803
624,285 316 404 475 515 608 638 699 764 778 981
625,49 559 649 879 902 915 988
626,238 282 368 673
627,63 73 319 456 459 614 756 825 837
628,238 399 486 524 541 699 938
629,85 117 259 371 806 808 820
630,79 306 390 420 444 477 555 559 577 626 668 722 857
631,39 93 106 118 241 427 511 555 676 770 800 832 833 941
632,81 112 778
633,63 68 293 432 662 669 710 743 787 961
634,3 111 388 451 487 488 523 723
635,108 119 281 432 511 578 608 705 713 729 955 961 962 981 984 998
636,147 198 318 669 693 767 807 892
637,147 198 318 669 892
