,CPU,RAM,GPU,SSD,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,target
74,3,1,9,0,9,1,6,8,4,3,9,9,8,5,3,1,1,7,2,1,9,0,0,0,0,5,2,6,9,3,0
75,0,5,3,1,3,7,5,0,5,3,1,7,7,9,5,5,2,3,4,7,8,6,7,6,7,4,2,8,6,6,0
76,9,2,8,6,3,4,5,6,9,8,4,0,4,8,8,8,8,1,9,3,4,6,9,5,0,2,4,5,1,4,0
77,1,3,8,9,6,6,1,2,8,9,6,0,0,3,7,0,4,8,8,5,3,6,0,9,9,2,7,5,0,2,0
78,3,5,7,3,7,4,4,9,1,3,9,1,4,7,1,8,3,2,1,6,3,3,2,1,8,0,6,2,7,6,0
79,6,0,4,2,7,3,0,2,5,0,4,1,1,1,1,9,1,7,8,1,3,0,3,3,4,5,6,9,2,8,0
80,2,2,2,3,6,8,9,0,9,7,0,1,4,6,0,9,5,1,6,6,0,9,9,0,5,0,3,4,0,6,0
81,9,7,0,0,4,0,2,3,7,1,5,8,7,3,1,1,2,5,7,3,4,1,4,8,7,9,0,9,3,6,0
82,4,5,0,3,7,1,2,7,1,9,5,6,2,6,5,8,4,8,1,5,3,0,0,2,9,0,2,4,4,4,0
83,8,4,9,5,2,7,9,7,6,7,6,2,1,7,9,7,9,8,0,2,3,4,4,1,7,3,8,1,5,2,0
84,0,6,4,5,4,9,6,8,5,9,4,3,8,8,3,3,5,1,3,8,5,2,5,6,4,9,5,7,0,3,0
85,9,2,6,3,0,0,0,8,9,4,7,3,3,6,3,7,2,6,5,8,5,2,2,2,3,6,3,8,5,8,0
86,3,8,8,4,4,7,2,2,7,4,9,1,0,1,6,1,3,5,4,3,8,4,8,2,9,2,0,8,1,5,0
87,3,5,7,2,7,3,9,8,9,6,3,7,3,1,2,4,1,0,8,7,5,0,4,5,5,6,4,3,2,5,0
88,1,5,7,8,2,6,3,1,0,1,9,4,7,1,1,2,4,8,7,2,9,0,4,2,9,8,3,3,9,0,0
89,2,5,2,3,5,4,1,7,0,3,7,3,3,2,3,6,6,1,1,9,7,0,2,9,5,9,2,0,5,9,0
90,1,2,3,4,9,3,3,2,1,2,5,6,4,3,1,5,8,9,4,1,1,1,5,9,7,1,8,1,9,5,0
91,5,1,5,9,4,0,5,6,9,6,8,7,8,6,6,0,2,3,9,2,3,2,8,2,9,9,3,5,0,5,0
92,1,9,9,9,1,1,0,6,2,5,4,3,6,6,2,8,9,9,9,1,1,2,3,5,8,8,2,4,1,3,0
93,9,5,3,5,0,0,3,3,9,4,7,1,0,1,9,1,9,5,9,0,8,0,8,2,9,4,6,8,4,6,0
94,2,4,2,9,2,2,2,9,8,2,9,2,4,9,3,9,5,9,9,8,3,6,4,8,1,9,8,7,4,4,0
95,4,5,4,4,8,6,7,2,2,3,7,5,9,4,1,1,0,4,8,9,0,9,9,1,3,2,8,1,2,9,0
96,3,9,3,4,4,4,3,0,9,0,2,4,6,9,7,4,9,5,2,3,1,3,9,2,4,2,8,5,1,9,0
97,4,2,1,6,4,4,3,8,6,7,2,6,2,4,7,3,4,7,7,1,9,2,1,4,9,8,2,7,8,8,0
98,2,7,9,3,1,4,7,3,6,1,3,5,8,2,9,1,6,9,7,5,9,5,8,0,3,9,4,1,2,2,0
99,7,7,0,9,2,4,6,0,4,4,9,8,4,5,6,9,4,1,7,0,2,9,2,1,7,8,2,8,2,1,0
100,6,0,0,0,3,4,2,8,6,5,4,2,1,5,1,4,2,3,8,9,8,1,5,5,8,0,6,4,7,1,0
101,2,6,9,5,6,6,0,9,4,4,5,5,8,0,2,4,3,1,2,6,7,6,0,9,7,1,7,2,6,4,0
102,1,3,6,8,9,4,3,9,2,2,3,1,5,0,6,4,2,6,6,4,6,3,0,1,4,6,9,9,2,2,0
103,5,7,6,6,9,6,1,9,3,9,4,5,2,6,8,8,1,8,7,3,7,2,4,0,8,5,2,5,6,1,0
104,7,4,2,2,7,5,7,8,2,3,4,6,3,7,9,6,8,1,6,8,9,3,5,6,6,6,4,7,2,8,0
105,4,6,7,2,3,7,0,8,6,3,4,1,7,1,3,5,2,0,9,5,4,1,1,3,2,6,0,6,8,1,0
106,4,2,0,8,9,3,0,3,1,4,1,0,1,8,2,9,6,4,3,5,9,2,5,8,6,9,2,2,1,1,0
107,2,0,0,0,1,4,5,2,3,2,1,7,9,9,3,6,0,9,3,0,0,2,6,2,6,7,5,3,7,0,0
108,4,9,4,2,9,2,4,9,0,0,0,7,4,2,5,8,4,8,8,6,8,0,9,4,8,5,4,8,5,2,0
109,9,1,1,8,2,3,0,2,1,7,2,2,5,6,1,5,0,6,7,8,6,0,5,0,6,4,1,6,3,7,0
110,1,4,0,5,9,5,7,7,6,8,4,9,3,1,2,3,4,7,5,8,7,4,4,3,4,0,7,4,5,4,0
111,7,1,3,3,7,1,5,9,9,3,1,2,8,2,0,3,3,8,1,3,2,6,6,7,9,0,8,1,0,0,0
112,4,5,9,0,8,7,7,3,7,0,9,8,8,5,9,6,7,2,2,5,3,9,1,3,2,4,3,1,8,2,0
113,2,8,6,8,9,7,3,3,0,2,2,7,6,3,9,8,6,9,5,1,6,7,7,8,3,9,8,6,2,3,0
114,1,1,1,6,1,0,1,3,1,8,6,3,6,7,4,7,3,7,8,1,7,2,2,6,7,7,0,5,0,0,0
115,9,7,1,7,9,3,1,0,5,1,3,3,4,3,9,2,8,8,2,6,8,0,5,6,7,9,4,3,3,0,0
116,1,3,6,3,0,4,1,6,2,7,8,9,0,3,5,6,4,3,7,2,2,7,1,6,3,0,5,2,3,0,0
117,9,9,1,6,5,4,1,5,0,2,8,6,9,1,2,2,4,6,7,7,4,9,8,4,1,2,4,4,8,6,0
118,8,8,7,7,2,3,8,2,6,1,1,0,7,7,3,8,8,0,0,3,9,0,8,9,4,4,4,1,0,5,1
119,0,0,9,5,2,9,1,5,1,1,3,2,2,9,8,3,7,8,8,1,7,2,0,2,5,9,7,7,9,6,0
120,1,9,0,7,6,5,7,1,7,5,4,0,2,9,8,3,6,7,8,2,4,8,1,0,6,7,1,0,2,1,0
121,1,4,7,4,4,9,8,6,4,4,3,8,4,6,5,7,7,9,4,4,2,4,1,9,4,7,3,9,8,9,0
122,6,6,1,0,5,4,7,5,7,8,5,6,0,3,7,3,1,6,7,1,3,5,2,8,9,9,2,1,7,2,0
123,3,8,6,4,8,4,9,3,4,6,2,5,5,2,7,0,4,1,6,6,8,6,0,0,5,6,0,7,4,9,0
124,0,5,5,2,2,5,2,0,9,4,3,1,9,9,0,0,7,0,2,3,1,9,1,8,4,2,0,8,9,0,0
125,3,7,9,7,8,1,4,6,8,3,6,4,6,7,0,6,5,7,7,3,8,5,7,2,3,6,4,9,0,1,0
126,3,7,9,7,3,2,7,2,3,9,2,0,7,8,2,1,5,5,3,0,1,5,0,2,6,9,6,0,4,3,0
127,4,2,7,4,8,5,8,4,3,5,1,0,1,3,5,4,1,8,8,8,8,3,6,2,0,0,6,9,4,4,0
128,4,0,6,7,2,2,1,3,5,3,5,7,4,5,3,7,8,6,6,7,6,1,5,8,4,1,3,3,8,8,0
129,4,6,9,8,5,8,8,5,8,7,0,2,1,9,0,3,1,5,2,9,0,4,9,3,4,4,4,3,7,8,0
130,6,2,8,8,1,6,5,5,4,3,3,5,3,5,6,6,0,8,7,9,1,2,9,9,2,4,5,3,4,1,0
131,1,6,8,7,7,0,7,2,5,6,1,6,6,9,6,2,3,5,9,0,0,1,5,9,0,4,8,4,5,7,0
132,1,8,2,7,3,1,0,7,9,0,6,4,8,5,6,3,6,0,5,8,0,6,9,1,6,8,6,4,7,5,0
133,6,9,0,7,0,7,1,3,3,1,6,6,2,8,0,4,6,0,7,9,0,0,8,5,9,5,3,6,3,2,0
134,4,7,4,3,9,6,6,9,0,1,1,3,0,0,7,7,2,5,1,8,3,7,4,9,0,9,0,1,3,0,0
135,3,8,5,8,3,1,0,5,0,2,7,6,7,8,3,4,9,7,3,2,8,9,1,5,8,3,3,4,1,5,0
136,6,0,1,8,4,7,0,2,1,4,3,5,5,5,4,8,9,5,5,3,0,2,7,9,6,8,2,3,7,2,0
137,6,9,2,2,0,5,5,2,5,7,2,9,8,7,0,0,1,8,6,4,0,4,2,7,0,4,2,2,4,8,0
138,3,8,6,7,5,4,5,2,2,4,6,5,7,3,2,0,7,2,8,4,7,2,9,0,8,2,8,6,8,3,0
139,4,4,2,6,6,5,7,1,9,8,5,2,3,8,7,5,5,4,7,6,3,1,5,1,4,5,0,6,7,5,0
140,9,1,9,0,1,8,7,1,6,3,6,2,1,2,2,1,9,1,9,6,7,4,2,7,9,0,1,5,5,2,0
141,6,5,8,1,7,5,7,1,9,7,3,3,2,4,1,7,9,1,6,2,2,0,1,7,9,3,7,4,3,0,0
142,7,1,3,9,3,5,6,0,3,9,2,9,8,4,9,8,1,2,3,3,5,0,1,7,7,8,4,7,3,2,0
143,9,1,8,4,0,6,0,0,1,7,6,9,3,1,4,7,2,7,1,4,3,9,2,3,9,8,2,0,3,6,0
144,4,2,8,2,1,6,8,7,3,5,4,2,0,4,6,1,9,4,8,7,7,9,2,4,0,1,5,6,5,8,0
145,6,7,6,4,2,3,7,0,3,6,9,4,5,0,7,6,5,5,1,6,2,0,4,2,2,3,4,4,3,6,0
146,2,4,9,8,4,0,5,3,2,2,0,1,5,9,8,0,3,8,3,3,5,4,5,7,7,4,0,6,4,3,0
147,6,2,0,3,0,7,7,8,3,4,1,3,8,0,1,0,9,7,7,4,7,6,1,4,9,1,6,1,9,4,0
148,8,4,9,5,0,8,9,6,1,7,0,6,4,2,1,2,1,9,1,4,0,4,8,7,1,0,4,7,4,7,0
149,7,6,6,2,5,3,1,6,9,5,0,0,0,1,2,3,7,3,9,0,2,8,6,0,4,9,8,3,2,0,0
150,2,7,5,6,1,3,0,9,4,4,5,0,1,8,1,9,6,4,7,8,5,8,5,8,6,7,1,3,8,9,0
151,4,2,6,2,4,5,7,7,5,8,0,2,6,9,8,7,5,9,2,4,9,4,8,1,2,0,8,7,8,1,0
152,4,1,8,7,6,5,2,1,5,2,5,7,5,0,9,8,3,4,9,1,6,5,3,3,1,9,8,6,0,2,0
153,6,4,7,6,9,8,2,7,9,4,2,8,4,5,7,1,6,3,1,1,5,4,3,7,1,1,0,6,5,0,0
154,3,3,5,9,6,5,4,9,8,9,1,3,9,3,9,0,0,2,0,0,9,9,4,4,5,5,7,3,8,3,0
155,2,5,8,6,0,7,4,2,3,2,2,7,6,1,7,9,9,8,3,1,1,5,3,5,1,2,5,3,4,8,0
156,7,1,2,3,5,0,6,8,4,0,8,2,1,9,4,5,3,3,1,5,6,0,8,3,0,2,1,0,5,0,0
157,0,4,3,4,3,5,5,8,5,6,7,8,3,2,0,5,3,6,1,9,7,6,1,5,9,0,6,4,3,6,0
158,1,1,5,2,3,1,0,0,4,9,2,4,7,7,7,4,3,9,5,6,6,7,2,5,1,9,0,6,1,6,0
159,6,1,4,9,4,3,1,2,8,2,1,8,9,2,3,8,8,5,1,2,2,4,6,3,0,6,6,5,0,7,0
160,2,3,8,2,9,2,9,6,0,8,1,7,0,7,9,0,9,0,8,9,7,8,7,2,8,5,8,5,0,2,0
161,1,2,3,3,4,4,5,7,7,3,7,3,7,2,0,1,2,4,6,8,3,3,4,2,1,4,4,3,5,6,0
162,5,2,8,3,5,4,9,1,1,1,2,7,6,2,4,5,0,8,2,6,4,1,1,2,4,0,6,8,3,0,0
163,1,5,0,8,7,1,1,9,9,1,1,6,2,9,4,2,1,5,6,3,4,1,2,1,6,7,9,1,0,4,0
164,5,9,3,6,3,5,0,8,5,3,3,0,8,4,8,2,2,3,1,2,0,7,0,5,4,7,2,1,4,2,0
165,7,8,9,9,1,4,6,2,8,0,8,6,5,0,4,9,5,1,9,3,0,9,3,8,4,9,9,8,5,0,1
166,8,0,9,8,5,0,6,1,5,4,7,0,6,8,2,7,8,5,2,7,6,6,2,9,7,6,6,3,0,5,0
167,6,4,6,1,8,4,9,6,5,7,7,2,2,2,4,2,2,5,9,0,2,2,6,1,7,9,5,9,8,6,0
168,8,7,6,1,6,0,4,3,0,1,9,8,4,2,0,9,9,9,2,7,3,2,7,8,7,2,9,5,4,1,0
169,4,1,8,3,7,6,9,1,4,7,7,4,1,0,6,2,4,7,9,3,5,7,7,5,5,3,8,4,5,4,0
170,0,6,7,2,9,2,7,6,6,4,0,5,6,1,4,4,4,8,8,9,7,0,9,8,2,5,7,9,5,5,0
171,0,0,6,1,0,2,6,8,1,0,9,3,6,1,9,1,1,6,8,3,4,5,4,6,4,3,2,7,9,3,0
172,5,6,8,6,2,5,2,9,6,7,8,8,8,1,2,7,4,9,5,0,3,3,6,6,8,5,5,0,6,0,0
173,8,3,8,5,6,8,5,3,8,0,7,6,4,1,4,1,8,1,5,0,2,2,1,0,6,2,7,9,8,0,0
174,4,9,3,3,4,1,4,4,1,4,4,2,6,4,6,6,3,5,1,0,9,8,8,2,7,7,9,4,8,2,0
175,4,9,8,0,1,3,6,8,3,6,0,2,0,2,5,5,7,5,5,4,2,6,3,0,2,7,0,5,0,9,0
176,4,8,4,2,3,4,6,6,5,5,1,3,0,9,4,6,2,5,6,0,6,0,2,0,3,7,3,1,4,1,0
177,1,4,5,2,0,7,2,1,7,7,7,0,2,3,3,1,0,1,4,4,5,6,2,6,4,3,2,8,7,7,0
178,3,5,9,3,8,0,5,6,0,9,3,5,7,7,0,8,5,1,9,3,6,7,0,2,4,2,6,4,7,9,0
179,9,4,3,9,9,4,7,5,5,7,3,2,6,8,7,7,1,4,2,8,6,6,7,5,4,6,7,8,1,7,0
180,9,5,5,6,7,4,0,8,9,2,7,1,0,9,7,4,5,3,2,8,2,0,3,6,4,1,4,9,4,0,0
181,4,6,4,5,4,5,2,6,2,4,2,6,6,8,7,8,3,0,4,6,9,6,0,4,5,3,9,2,0,6,0
182,4,7,0,2,6,4,1,0,4,1,9,6,0,9,3,2,0,7,3,8,6,6,2,0,9,4,4,5,4,9,0
183,3,9,2,1,2,2,8,6,9,7,7,5,4,7,0,2,5,7,3,6,9,7,2,9,7,1,3,2,6,7,0
184,5,1,6,2,6,0,2,6,9,9,3,8,0,3,3,3,4,0,0,4,8,5,2,6,5,9,2,6,2,8,0
185,9,5,2,2,1,1,1,5,9,8,8,6,0,2,4,3,0,7,9,9,3,1,2,7,3,8,0,8,0,0,0
186,6,7,5,4,1,4,4,6,8,6,6,0,2,8,9,6,8,3,8,8,1,3,5,9,1,8,5,3,0,9,0
187,7,2,7,3,3,0,1,8,1,7,2,8,1,5,9,7,3,8,5,2,7,3,7,1,6,0,7,8,1,5,0
188,3,6,5,7,1,4,0,9,7,0,1,8,7,7,2,1,4,7,9,4,4,2,2,2,7,5,7,9,5,5,0
189,9,0,1,3,4,5,9,4,8,8,6,2,8,1,0,2,6,6,3,8,3,6,6,4,3,2,4,5,4,3,0
190,3,6,0,3,7,5,8,0,2,7,5,7,5,1,9,9,7,5,4,4,1,8,1,7,4,2,6,6,2,2,0
191,9,5,4,9,3,9,6,7,9,0,7,3,5,6,8,3,8,3,7,1,5,6,4,5,0,5,3,8,5,3,0
192,7,3,0,3,0,2,6,0,4,2,7,4,0,9,7,5,0,8,2,5,6,2,4,0,8,4,3,1,8,3,0
193,6,6,8,7,6,5,8,7,5,3,6,2,4,1,1,3,5,9,2,9,4,1,6,5,7,1,1,5,7,5,0
194,6,4,5,7,1,1,8,5,4,0,8,2,7,8,3,0,2,5,2,6,4,1,3,0,3,7,1,3,0,2,0
195,3,1,9,1,1,1,6,3,4,7,2,5,6,9,3,0,9,4,1,8,4,5,6,7,1,2,1,1,1,6,0
196,3,2,8,2,1,2,4,7,9,3,5,8,4,8,2,6,3,0,6,9,0,9,4,4,1,7,1,9,4,6,0
197,1,3,5,6,2,1,3,2,8,8,5,2,0,0,0,2,8,6,0,2,9,6,1,9,9,6,7,0,8,6,0
198,1,7,3,6,9,3,9,1,8,6,3,5,9,7,8,1,0,3,1,0,0,4,4,0,1,8,0,6,2,1,0
199,8,1,0,5,6,8,9,4,7,5,9,6,2,5,3,3,5,8,3,9,4,0,8,3,5,5,3,9,9,5,0
200,4,2,5,8,3,4,6,7,3,7,5,1,5,5,5,7,7,8,1,9,2,4,2,2,0,6,5,8,8,9,0
201,1,3,3,7,4,6,1,9,5,8,4,1,7,8,7,1,8,7,3,1,8,9,2,9,1,6,1,5,1,7,0
202,2,0,0,1,8,4,4,5,7,2,9,5,3,3,2,1,6,5,1,3,1,9,3,7,7,9,4,7,3,3,0
203,1,2,6,5,3,8,3,7,2,7,6,5,8,6,1,9,8,9,0,3,4,0,2,7,5,3,4,6,3,5,0
204,9,2,7,5,0,8,1,5,1,9,7,5,5,1,5,6,0,6,4,6,9,0,9,4,2,5,6,3,4,9,0
205,9,1,3,5,0,4,7,7,3,1,6,0,8,4,9,0,0,6,3,6,3,8,6,4,0,2,8,5,5,4,0
206,7,4,1,6,4,4,7,3,1,0,0,6,4,8,7,2,3,8,5,2,3,1,8,9,4,9,1,9,9,0,0
207,3,6,8,1,3,8,7,5,2,5,8,0,3,6,3,8,4,0,4,3,4,7,3,9,5,3,7,2,4,0,0
208,3,2,6,9,0,4,7,1,9,7,7,3,2,1,8,5,9,9,2,6,8,3,6,9,5,7,7,7,8,0,0
209,3,9,2,6,3,0,0,5,6,8,0,8,7,8,5,0,6,9,3,5,3,2,9,8,7,5,5,2,0,2,0
210,0,5,8,1,4,5,1,2,7,6,3,0,7,5,3,8,0,5,8,8,0,7,5,8,8,8,0,9,5,7,0
211,9,5,7,5,0,7,5,0,2,5,2,4,7,8,6,8,5,6,3,2,9,6,0,7,2,5,7,7,0,6,0
212,2,6,7,1,6,3,9,6,0,4,0,1,5,6,7,6,1,3,3,0,3,0,9,8,1,8,4,4,0,9,0
213,4,8,7,0,1,4,6,4,4,4,1,5,8,7,3,9,0,7,6,4,0,5,7,4,6,8,1,0,9,3,0
214,2,0,2,6,2,5,2,0,4,8,6,6,6,0,0,0,2,9,3,3,0,4,7,0,5,1,5,8,0,4,0
215,2,5,3,3,9,9,6,4,0,8,3,0,7,1,0,1,7,1,7,9,8,2,4,3,0,2,5,5,2,6,0
